symbol,DiseaseSpecific_ClinicLabel,drug_information,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,GeneFamily,score,GeneCard_Score
FAM184B,0,Soft negative,0.027993946,No data,No data,No data,0,0,0,0,No data,-0.085434466,0,0,No data,No data,0,0.5,0.5,FAM,0.032823375,0.00482943
COPS3,0,Soft negative,0.022174791,No data,0,0,0,0,0,0.9763599999999997,No data,-0.909460304,No data,-1,No data,No data,0,-1,-1,COPS,0.042655462,0.020480671
NKX6-3,0,Soft negative,0.4416640377093679,No data,0,0,0,0,0,0.6981149999999999,No data,0.6621171077307773,-0.031038826,0,No data,No data,0,0.75,0.5,NKX,0.4584757119658942,0.016811674256526323
VAV2,0,Soft negative,0.030590204,No data,0,0,0,0,0,0.7323450000000001,No data,-0.469160242,-0.943013987,0,No data,No data,0,-1,-1,VAV,0.089407784,0.05881758
ARRB1,0,Soft negative,0.004619748,No data,0,0,0,0,0,0.8684199999999997,No data,-0.808501771,-0.780119459,0,No data,No data,-0.37799,-1,-1,ARRB,0.059727908,0.055108159401129925
RBPJ,0,Hard negative,0.3283758282814262,No data,0,0,0,1,0,0.9075949999999999,No data,-0.837153574,-0.953529912,0,No data,No data,0,-1,-1,RBPJ,0.5884629968555096,0.2600871685740834
BDNF,0,Hard negative,0.4370709818392788,No data,0,1,0,1,0,0.8785400000000003,No data,-0.471973328,-0.884743152,0,-1,No data,0,0.5,0.5,BDNF,0.5898436090581165,0.15277262721883766
TBC1D4,0,Hard negative,0.3439152167874525,No data,0,0,0,0,0,0.5107849999999999,No data,0.004688477,-0.808852646,0,No data,No data,0,0.5,-1,TBC,0.5954860890698279,0.25157087228237535
NPC1,0,Hard negative,0.3346759213236342,No data,0,0,1,1,0,0.2996850000000002,0,-0.514898937,-0.972172063,0,No data,No data,0,-1,-1,NPC,0.6024327776977892,0.26775685637415503
DGKB,0,Hard negative,0.5193421075151367,No data,1,0,0,0,0,0.7882950000000001,No data,-0.668055845,-0.701429432,0,-1,No data,-0.04421,1,0.5,DGKB,0.6038791919249213,0.084537084
ADCY5,0,Hard negative,0.5173087943337322,No data,0,0,1,1,0,0.7422699999999999,No data,-0.818503855,-0.202488547,0,No data,No data,-0.0860425,0.5,0,ADCY,0.6040589411205564,0.086750147
RASGRP1,0,Hard negative,0.5280036032051979,No data,1,0,1,1,0,0.5169400000000003,No data,-0.730047927,-0.666376979,0,No data,No data,0,0.5,0,RASGRP,0.604647853,0.076644249
LEP,0,Hard negative,0.3675150563028362,No data,1,1,0,0,0,0.16167500000000032,No data,-0.098458012,-0.985600464,0,-1,No data,No data,0.75,0,LEP,0.6136018325905711,0.2460867762877349
NEUROG3,0,Hard negative,0.482374997,No data,0,0,0,0,0,0,No data,0.9270681391956657,-0.665252131,0,No data,No data,0,0.75,0.5,NEUROG,0.6163634611817493,0.13398846389161134
LMNA,0,Hard negative,0.064877992,No data,0,0,0,1,0,0.834335,No data,-0.878307981,-0.990120998,0,No data,No data,0,-1,-1,LMNA,0.627030967,0.5621529752663399
TFAP2B,0,Hard negative,0.4994376022384175,No data,0,0,0,0,0,0.9891300000000001,No data,-0.812565118,-0.938633358,0,-1,No data,-0.2826075,0.5,0.5,TFAP,0.6317382574467243,0.13230065520830686
NF1,0,Hard negative,0.1919692387233297,No data,1,0,0,0,1,0.9242699999999999,No data,-0.771514899,-0.976825678,0,No data,-1,0,-1,-1,NF,0.6382726767963341,0.4463034380730045
LPIN1,0,Soft negative,0.021838864,No data,1,0,0,0,0,0.4276449999999997,No data,-0.225046885,-0.952360803,0,No data,No data,0,0.5,-1,LPIN,0.12110517374283479,0.09926631
